tau,freq
0.0,0.0008327100138697911
0.1,0.00021573571851938114
0.2,0.00019558047838089224
0.3,0.0002041651176991375
0.4,0.00020640458882563626
0.5,0.000210510285890884
0.6,0.00019707345913189142
0.7,0.00020192564657263873
0.8,0.00020304538213588812
0.9,0.00020155240138488895
1.0,0.00018960855537689553
1.1,0.00020192564657263873
1.2,0.000185129613123898
1.3,0.00019483398800539264
1.4,0.00019259451687889389
1.5,0.00018923531018914572
1.6,0.00020267213694813834
1.7,0.0002037918725113877
1.8,0.0001922212716911441
1.9,0.00019707345913189142
2.0,0.000185129613123898
2.1,0.00019259451687889389
2.2,0.00018251689680964944
2.3,0.00018624934868714736
2.4,0.00017542523824240334
2.5,0.00017542523824240334
2.6,0.00018662259387489718
2.7,0.00018214365162189965
2.8,0.00016908007005065684
2.9,0.00016870682486290703
3.0,0.00015564324329166425
3.1,0.00016572086336090868
3.2,0.00015004456547541733
3.3,0.00014817833953666834
3.4,0.00016721384411190785
3.5,0.0001511643010386667
3.6,0.00015415026254066505
3.7,0.00014145992615717206
3.8,0.00014705860397341898
3.9,0.00015415026254066505
4.0,0.00014817833953666834
4.1,0.00015041781066316712
4.2,0.0001448191328469202
4.3,0.00014631211359791938
4.4,0.00014183317134492185
4.5,0.0001436993972836708
4.6,0.00013212879646342719
4.7,0.0001246638927084313
4.8,0.00011645249857793583
4.9,0.00013026257052467822
5.0,0.00012951608014917865
5.1,0.00012988932533692843
5.2,0.00011645249857793583
5.3,0.00011346653707593748
5.4,0.0001190652148921844
5.5,0.00010824110444744036
5.6,0.00011421302745143706
5.7,8.435341243145352e-05
5.8,9.816348437819591e-05
5.9,0.00010114944588019426
6.0,0.00010152269106794406
6.1,9.629725843944694e-05
6.2,9.92832199414453e-05
6.3,9.293805174969879e-05
6.4,8.435341243145352e-05
6.5,8.174069611720496e-05
6.6,8.024771536620579e-05
6.7,8.696612874570208e-05
6.8,8.733937393345188e-05
6.9,7.91279798029564e-05
7.0,7.502228273770867e-05
7.1,7.800824423970702e-05
7.2,7.539552792545845e-05
7.3,7.576877311320826e-05
7.4,7.502228273770867e-05
7.5,7.502228273770867e-05
7.6,6.942360492146175e-05
7.7,7.726175386420743e-05
7.8,6.195870116646586e-05
7.9,6.457141748071442e-05
8.0,6.867711454596216e-05
8.1,6.64376434194634e-05
8.2,5.412055222372018e-05
8.3,5.710651372571853e-05
8.4,6.233194635421565e-05
8.5,5.1134590721721825e-05
8.6,5.2627571472721e-05
8.7,5.076134553397203e-05
8.8,4.8521874407473266e-05
8.9,4.740213884422388e-05
9.0,5.785300410121812e-05
9.1,5.412055222372018e-05
9.2,4.5909158093224706e-05
9.3,4.8521874407473266e-05
9.4,4.143021584022717e-05
9.5,5.038810034622224e-05
9.6,4.366968696672594e-05
9.7,4.1803461027976963e-05
9.8,5.038810034622224e-05
9.9,4.143021584022717e-05
10.0,4.702889365647409e-05
10.1,3.881749952597861e-05
10.2,4.217670621572676e-05
10.3,4.2923196591226346e-05
10.4,3.6578028399479845e-05
10.5,3.545829283623046e-05
10.6,3.247233133423211e-05
10.7,3.28455765219819e-05
10.8,3.0232860207733343e-05
10.9,3.32188217097317e-05
11.0,3.32188217097317e-05
11.1,3.0232860207733343e-05
